ANNEE;SEXE;AGE;POP
2016;2;30;396900
2016;2;31;398775
2016;2;32;393007
2016;2;33;417861
2016;2;34;422954
2016;2;35;427478
2016;2;36;405370
2016;2;37;396906
2016;2;38;398083
2016;2;39;389406
2016;2;40;401075
2016;2;41;421048
2016;2;42;445332
2016;2;43;455755
2016;2;44;452609
2016;2;45;443511
2016;2;46;438684
2016;2;47;437710
2016;2;48;433225
2016;2;49;444276
2016;2;50;444890
2016;2;51;452282
2016;2;52;447711
2016;2;53;432610
2016;2;54;433768
2016;2;55;431795
2016;2;56;430862
2016;2;57;422155
2016;2;58;422622
2016;2;59;419933
2016;2;60;416317
2016;2;61;415285
2016;2;62;406682
2016;2;63;414315
2016;2;64;403219
2016;2;65;418788
2016;2;66;412203
2016;2;67;408412
2016;2;68;399593
2016;2;69;380242
2016;2;70;287655
2016;2;71;281008
2016;2;72;271693
2016;2;73;251507
2016;2;74;225561
2016;2;75;236173
2016;2;76;246926
2016;2;77;243692
2016;2;78;238887
2016;2;79;238500
2016;2;80;233090
2016;2;81;233052
2016;2;82;220023
2016;2;83;221479
2016;2;84;207554
2016;2;85;199403
2016;2;86;177240
2016;2;87;162598
2016;2;88;147044
2016;2;89;132591
2016;2;90;117982
2016;2;91;100167
2016;2;92;85240
2016;2;93;71803
2016;2;94;57709
2016;2;95;45770
2016;2;96;20808
2016;2;97;13403
2016;2;98;9224
2016;2;99;23451
2017;1;0;378738
2017;1;1;377635
2017;1;2;388930
2017;1;3;390124
2017;1;4;394134
2017;1;5;403566
2017;1;6;414115
2017;1;7;413154
2017;1;8;415253
2017;1;9;412453
2017;1;10;419267
2017;1;11;410382
2017;1;12;408395
2017;1;13;405756
2017;1;14;409210
2017;1;15;415794
2017;1;16;425067
2017;1;17;407404
2017;1;18;401476
2017;1;19;389915
2017;1;20;385094
2017;1;21;371384
2017;1;22;354371
2017;1;23;348588
2017;1;24;366600
2017;1;25;370051
2017;1;26;377945
2017;1;27;375902
2017;1;28;380244
2017;1;29;381802
2017;1;30;387410
2017;1;31;388145
2017;1;32;385444
2017;1;33;382803
2017;1;34;408101
2017;1;35;411142
2017;1;36;419018
2017;1;37;396860
2017;1;38;391052
2017;1;39;395410
2017;1;40;385660
2017;1;41;396100
2017;1;42;420320
2017;1;43;441100
2017;1;44;453377
2017;1;45;449330
2017;1;46;439775
2017;1;47;431141
2017;1;48;426713
2017;1;49;422924
2017;1;50;432617
2017;1;51;434114
2017;1;52;436972
2017;1;53;432074
2017;1;54;416260
2017;1;55;414020
2017;1;56;412369
2017;1;57;407203
2017;1;58;397215
2017;1;59;393715
2017;1;60;387986
2017;1;61;380283
2017;1;62;380395
2017;1;63;368636
2017;1;64;373313
2017;1;65;362617
2017;1;66;376162
2017;1;67;365091
2017;1;68;363814
2017;1;69;353535
2017;1;70;332611
2017;1;71;248263
2017;1;72;238765
2017;1;73;229164
2017;1;74;210868
2017;1;75;184294
2017;1;76;187492
2017;1;77;190844
2017;1;78;182770
2017;1;79;173110
2017;1;80;166960
2017;1;81;155039
2017;1;82;148645
2017;1;83;133684
2017;1;84;128757
2017;1;85;114889
2017;1;86;103452
2017;1;87;85949
2017;1;88;74423
2017;1;89;61928
2017;1;90;51314
2017;1;91;41773
2017;1;92;32529
2017;1;93;24991
2017;1;94;19147
2017;1;95;14226
2017;1;96;10154
2017;1;97;4160
2017;1;98;2439
2017;1;99;4011
2017;2;0;360692
2017;2;1;359642
2017;2;2;370621
2017;2;3;371705
2017;2;4;374619
2017;2;5;386727
2017;2;6;395171
2017;2;7;393195
2017;2;8;395565
2017;2;9;393454
2017;2;10;399302
2017;2;11;391315
2017;2;12;389313
2017;2;13;387416
2017;2;14;389422
2017;2;15;396634
2017;2;16;405279
2017;2;17;385993
2017;2;18;383829
2017;2;19;372011
2017;2;20;370943
2017;2;21;363418
2017;2;22;350350
2017;2;23;347311
2017;2;24;364861
2017;2;25;372720
2017;2;26;382228
2017;2;27;384992
2017;2;28;391341
2017;2;29;391654
2017;2;30;401094
2017;2;31;400071
2017;2;32;401897
2017;2;33;395851
2017;2;34;420341
2017;2;35;425457
2017;2;36;429696
2017;2;37;407538
2017;2;38;398866
2017;2;39;399345
2017;2;40;390661
2017;2;41;401639
2017;2;42;421526
2017;2;43;445451
2017;2;44;456031
2017;2;45;452824
2017;2;46;443475
2017;2;47;438494
2017;2;48;437339
2017;2;49;432881
2017;2;50;443754
2017;2;51;444318
2017;2;52;451502
2017;2;53;446877
2017;2;54;431732
2017;2;55;433001
2017;2;56;431069
2017;2;57;430254
2017;2;58;421393
2017;2;59;421418
2017;2;60;418292
2017;2;61;414408
2017;2;62;413290
2017;2;63;404767
2017;2;64;412285
2017;2;65;401150
2017;2;66;416249
2017;2;67;409550
2017;2;68;405506
2017;2;69;396624
2017;2;70;376911
2017;2;71;284785
2017;2;72;277836
2017;2;73;268433
2017;2;74;248272
2017;2;75;222462
2017;2;76;232416
2017;2;77;242579
2017;2;78;238862
2017;2;79;233422
2017;2;80;232149
2017;2;81;225751
2017;2;82;224648
2017;2;83;210874
2017;2;84;211078
2017;2;85;196356
2017;2;86;187135
2017;2;87;164670
2017;2;88;149468
2017;2;89;133519
2017;2;90;118714
2017;2;91;103956
2017;2;92;86675
2017;2;93;72310
2017;2;94;59584
2017;2;95;46740
2017;2;96;36130
2017;2;97;15996
2017;2;98;10044
2017;2;99;22360
2018;1;0;377659
2018;1;1;374462
2018;1;2;379992
2018;1;3;392153
2018;1;4;393954
2018;1;5;397708
2018;1;6;406485
2018;1;7;416838
2018;1;8;415582
2018;1;9;417750
2018;1;10;414658
2018;1;11;421304
2018;1;12;412363
2018;1;13;410172
2018;1;14;407808
2018;1;15;412163
2018;1;16;418416
2018;1;17;426575
2018;1;18;406528
2018;1;19;397705
2018;1;20;383746
2018;1;21;377762
2018;1;22;364341
2018;1;23;348911
2018;1;24;344719
2018;1;25;364270
