"ANNEE";"SEXE";"AGE";"POP"
"2023";"F";"35";427457
"2023";"F";"36";435484
"2023";"F";"37";435267
"2023";"F";"38";429641
"2023";"F";"39";423085
"2023";"F";"40";445517
"2023";"F";"41";447995
"2023";"F";"42";451462
"2023";"F";"43";425500
"2023";"F";"44";413889
"2023";"F";"45";413673
"2023";"F";"46";403519
"2023";"F";"47";414330
"2023";"F";"48";434139
"2023";"F";"49";457471
"2023";"F";"50";465004
"2023";"F";"51";461839
"2023";"F";"52";452568
"2023";"F";"53";447267
"2023";"F";"54";443813
"2023";"F";"55";440815
"2023";"F";"56";452080
"2023";"F";"57";453460
"2023";"F";"58";459440
"2023";"F";"59";453504
"2023";"F";"60";438138
"2023";"F";"61";438479
"2023";"F";"62";436924
"2023";"F";"63";433570
"2023";"F";"64";425450
"2023";"F";"65";422146
"2023";"F";"66";419044
"2023";"F";"67";415324
"2023";"F";"68";411021
"2023";"F";"69";401635
"2023";"F";"70";405728
"2023";"F";"71";393615
"2023";"F";"72";404357
"2023";"F";"73";395735
"2023";"F";"74";391967
"2023";"F";"75";380966
"2023";"F";"76";358417
"2023";"F";"77";270344
"2023";"F";"78";261154
"2023";"F";"79";251117
"2023";"F";"80";229853
"2023";"F";"81";202091
"2023";"F";"82";206921
"2023";"F";"83";213309
"2023";"F";"84";202838
"2023";"F";"85";193943
"2023";"F";"86";186592
"2023";"F";"87";173587
"2023";"F";"88";165272
"2023";"F";"89";147153
"2023";"F";"90";138529
"2023";"F";"91";120226
"2023";"F";"92";105720
"2023";"F";"93";83568
"2023";"F";"94";69923
"2023";"F";"95";55058
"2023";"F";"96";43834
"2023";"F";"97";33179
"2023";"F";"98";24249
"2023";"F";"99";48251
"2024";"M";"0";350102
"2024";"M";"1";350736
"2024";"M";"2";351805
"2024";"M";"3";359805
"2024";"M";"4";371872
"2024";"M";"5";378719
"2024";"M";"6";386663
"2024";"M";"7";398066
"2024";"M";"8";408823
"2024";"M";"9";418512
"2024";"M";"10";423343
"2024";"M";"11";432440
"2024";"M";"12";433629
"2024";"M";"13";444642
"2024";"M";"14";441286
"2024";"M";"15";446846
"2024";"M";"16";441353
"2024";"M";"17";445171
"2024";"M";"18";431480
"2024";"M";"19";421671
"2024";"M";"20";410116
"2024";"M";"21";404739
"2024";"M";"22";404429
"2024";"M";"23";405462
"2024";"M";"24";377654
"2024";"M";"25";371412
"2024";"M";"26";359665
"2024";"M";"27";364049
"2024";"M";"28";363595
"2024";"M";"29";355957
"2024";"M";"30";359858
"2024";"M";"31";377798
"2024";"M";"32";386854
"2024";"M";"33";396371
"2024";"M";"34";395361
"2024";"M";"35";401604
"2024";"M";"36";401818
"2024";"M";"37";408629
"2024";"M";"38";407576
"2024";"M";"39";404176
"2024";"M";"40";398505
"2024";"M";"41";422546
"2024";"M";"42";425500
"2024";"M";"43";429120
"2024";"M";"44";405946
"2024";"M";"45";398675
"2024";"M";"46";400570
"2024";"M";"47";389204
"2024";"M";"48";402813
"2024";"M";"49";422480
"2024";"M";"50";442085
"2024";"M";"51";452870
"2024";"M";"52";450495
"2024";"M";"53";438486
"2024";"M";"54";430877
"2024";"M";"55";422952
"2024";"M";"56";421272
"2024";"M";"57";429766
"2024";"M";"58";429345
"2024";"M";"59";429870
"2024";"M";"60";421247
"2024";"M";"61";405357
"2024";"M";"62";403058
"2024";"M";"63";396074
"2024";"M";"64";391257
"2024";"M";"65";378177
"2024";"M";"66";373279
"2024";"M";"67";365562
"2024";"M";"68";357238
"2024";"M";"69";353446
"2024";"M";"70";342931
"2024";"M";"71";343247
"2024";"M";"72";331397
"2024";"M";"73";338646
"2024";"M";"74";327190
"2024";"M";"75";321662
"2024";"M";"76";309638
"2024";"M";"77";284770
"2024";"M";"78";207566
"2024";"M";"79";198308
"2024";"M";"80";186764
"2024";"M";"81";166940
"2024";"M";"82";142406
"2024";"M";"83";140308
"2024";"M";"84";137480
"2024";"M";"85";125630
"2024";"M";"86";113158
"2024";"M";"87";102415
"2024";"M";"88";87250
"2024";"M";"89";77633
"2024";"M";"90";63754
"2024";"M";"91";54401
"2024";"M";"92";42889
"2024";"M";"93";33856
"2024";"M";"94";24110
"2024";"M";"95";18029
"2024";"M";"96";12783
"2024";"M";"97";8616
"2024";"M";"98";5924
"2024";"M";"99";9592
"2024";"F";"0";334263
"2024";"F";"1";335267
"2024";"F";"2";336428
"2024";"F";"3";345891
"2024";"F";"4";358378
"2024";"F";"5";363248
"2024";"F";"6";373616
"2024";"F";"7";382264
"2024";"F";"8";391822
"2024";"F";"9";405567
"2024";"F";"10";406468
"2024";"F";"11";412347
"2024";"F";"12";417190
"2024";"F";"13";426855
"2024";"F";"14";420800
"2024";"F";"15";423598
"2024";"F";"16";418656
"2024";"F";"17";422031
"2024";"F";"18";406292
"2024";"F";"19";397542
"2024";"F";"20";390052
"2024";"F";"21";385454
"2024";"F";"22";386122
"2024";"F";"23";389836
"2024";"F";"24";368989
"2024";"F";"25";368512
"2024";"F";"26";361320
"2024";"F";"27";370484
"2024";"F";"28";372652
"2024";"F";"29";370457
"2024";"F";"30";374722
"2024";"F";"31";395302
"2024";"F";"32";403839
"2024";"F";"33";414699
"2024";"F";"34";421562
"2024";"F";"35";427867
"2024";"F";"36";429839
"2024";"F";"37";438265
"2024";"F";"38";436399
"2024";"F";"39";430571
"2024";"F";"40";423905
"2024";"F";"41";446038
"2024";"F";"42";447840
"2024";"F";"43";451407
"2024";"F";"44";425382
"2024";"F";"45";413595
"2024";"F";"46";413385
"2024";"F";"47";403168
"2024";"F";"48";413371
"2024";"F";"49";433137
"2024";"F";"50";456704
"2024";"F";"51";463518
"2024";"F";"52";460982
"2024";"F";"53";451490
"2024";"F";"54";446050
"2024";"F";"55";442650
"2024";"F";"56";439702
"2024";"F";"57";451246
"2024";"F";"58";452664
"2024";"F";"59";458070
"2024";"F";"60";452089
"2024";"F";"61";436667
"2024";"F";"62";436779
"2024";"F";"63";434779
"2024";"F";"64";431844
"2024";"F";"65";423398
"2024";"F";"66";419383
"2024";"F";"67";416634
"2024";"F";"68";412330
"2024";"F";"69";407567
"2024";"F";"70";398280
"2024";"F";"71";402228
"2024";"F";"72";389442
"2024";"F";"73";399909
"2024";"F";"74";391039
"2024";"F";"75";386588
"2024";"F";"76";375716
"2024";"F";"77";352737
"2024";"F";"78";265533
"2024";"F";"79";255594
"2024";"F";"80";245323
"2024";"F";"81";223589
"2024";"F";"82";196139
"2024";"F";"83";199837
"2024";"F";"84";204709
"2024";"F";"85";193855
"2024";"F";"86";183717
"2024";"F";"87";175339
"2024";"F";"88";161292
"2024";"F";"89";151770
"2024";"F";"90";133417
"2024";"F";"91";123494
"2024";"F";"92";105394
"2024";"F";"93";90855
"2024";"F";"94";70378
"2024";"F";"95";57527
"2024";"F";"96";44294
"2024";"F";"97";34350
"2024";"F";"98";25335
"2024";"F";"99";51580
"2025";"M";"0";350967
"2025";"M";"1";351893
"2025";"M";"2";352339
"2025";"M";"3";354047
"2025";"M";"4";362488
"2025";"M";"5";374443
"2025";"M";"6";381352
"2025";"M";"7";389979
"2025";"M";"8";400856
"2025";"M";"9";411690
"2025";"M";"10";421304
"2025";"M";"11";426065
"2025";"M";"12";435694
"2025";"M";"13";436809
"2025";"M";"14";448454
"2025";"M";"15";445374
"2025";"M";"16";449682
"2025";"M";"17";441557
"2025";"M";"18";442115
"2025";"M";"19";426527
"2025";"M";"20";415270
"2025";"M";"21";404111
"2025";"M";"22";398697
"2025";"M";"23";398607
"2025";"M";"24";401232
"2025";"M";"25";374605
"2025";"M";"26";369093
"2025";"M";"27";359579
"2025";"M";"28";365104
"2025";"M";"29";365135
"2025";"M";"30";357790
"2025";"M";"31";361751
"2025";"M";"32";379701
"2025";"M";"33";388736
"2025";"M";"34";398124
"2025";"M";"35";397261
"2025";"M";"36";403491
"2025";"M";"37";403981
"2025";"M";"38";409818
"2025";"M";"39";408096
"2025";"M";"40";404813
"2025";"M";"41";398851
"2025";"M";"42";421928
"2025";"M";"43";425393
"2025";"M";"44";428676
"2025";"M";"45";405586
"2025";"M";"46";398057
"2025";"M";"47";399828
"2025";"M";"48";387990
"2025";"M";"49";401739
"2025";"M";"50";421299
"2025";"M";"51";440444
"2025";"M";"52";450972
"2025";"M";"53";448497
"2025";"M";"54";436526
"2025";"M";"55";428770
"2025";"M";"56";420764
"2025";"M";"57";419099
"2025";"M";"58";427323
"2025";"M";"59";426225
"2025";"M";"60";426585
"2025";"M";"61";417771
"2025";"M";"62";401619
"2025";"M";"63";399091
"2025";"M";"64";392268
"2025";"M";"65";386883
"2025";"M";"66";373499
"2025";"M";"67";368562
"2025";"M";"68";360198
"2025";"M";"69";351652
"2025";"M";"70";347354
"2025";"M";"71";336404
"2025";"M";"72";336545
"2025";"M";"73";324070
"2025";"M";"74";330858
"2025";"M";"75";319012
"2025";"M";"76";312869
"2025";"M";"77";300173
"2025";"M";"78";275182
"2025";"M";"79";199960
"2025";"M";"80";190193
"2025";"M";"81";178549
"2025";"M";"82";159045
"2025";"M";"83";134517
"2025";"M";"84";131609
"2025";"M";"85";127771
"2025";"M";"86";115407
"2025";"M";"87";102604
"2025";"M";"88";91594
"2025";"M";"89";76716
"2025";"M";"90";67009
"2025";"M";"91";53918
"2025";"M";"92";44790
"2025";"M";"93";34610
"2025";"M";"94";26768
"2025";"M";"95";18588
"2025";"M";"96";13508
"2025";"M";"97";9164
"2025";"M";"98";6035
"2025";"M";"99";10265
"2025";"F";"0";334915
"2025";"F";"1";336156
"2025";"F";"2";336767
"2025";"F";"3";338582
"2025";"F";"4";348624
"2025";"F";"5";361079
"2025";"F";"6";366004
"2025";"F";"7";376314
"2025";"F";"8";385345
"2025";"F";"9";394960
"2025";"F";"10";408546
"2025";"F";"11";408868
"2025";"F";"12";415164
"2025";"F";"13";419856
"2025";"F";"14";429773
"2025";"F";"15";423674
"2025";"F";"16";425006
"2025";"F";"17";417415
"2025";"F";"18";418191
"2025";"F";"19";401512
"2025";"F";"20";392419
"2025";"F";"21";385290
"2025";"F";"22";381673
"2025";"F";"23";383634
"2025";"F";"24";388439
"2025";"F";"25";367914
