SEXE;AGE;ANNEE;POP
F;103;2015;0
F;104;2015;0
F;105;2015;0
F;106;2015;0
F;107;2015;0
F;108;2015;0
M;0;2016;398240
M;1;2016;403085
M;2;2016;403373
M;3;2016;406643
M;4;2016;416843
M;5;2016;428814
M;6;2016;428257
M;7;2016;430940
M;8;2016;428210
M;9;2016;435613
M;10;2016;426844
M;11;2016;424583
M;12;2016;422724
M;13;2016;425822
M;14;2016;431466
M;15;2016;441576
M;16;2016;423950
M;17;2016;419996
M;18;2016;410482
M;19;2016;407576
M;20;2016;393964
M;21;2016;375146
M;22;2016;366469
M;23;2016;382416
M;24;2016;383556
M;25;2016;390116
M;26;2016;386818
M;27;2016;389910
M;28;2016;390835
M;29;2016;395915
M;30;2016;396378
M;31;2016;393392
M;32;2016;390722
M;33;2016;416414
M;34;2016;419828
M;35;2016;428093
M;36;2016;405649
M;37;2016;399972
M;38;2016;406277
M;39;2016;395796
M;40;2016;407537
M;41;2016;432238
M;42;2016;454668
M;43;2016;467079
M;44;2016;463574
M;45;2016;454196
M;46;2016;445533
M;47;2016;440629
M;48;2016;437475
M;49;2016;447674
M;50;2016;449110
M;51;2016;452157
M;52;2016;447270
M;53;2016;431112
M;54;2016;429011
M;55;2016;426972
M;56;2016;421061
M;57;2016;411373
M;58;2016;407667
M;59;2016;401986
M;60;2016;394270
M;61;2016;394472
M;62;2016;382320
M;63;2016;386943
M;64;2016;375831
M;65;2016;389511
M;66;2016;378208
M;67;2016;377213
M;68;2016;366886
M;69;2016;345487
M;70;2016;258643
M;71;2016;249354
M;72;2016;239976
M;73;2016;221153
M;74;2016;193295
M;75;2016;197384
M;76;2016;201081
M;77;2016;193466
M;78;2016;183803
M;79;2016;178141
M;80;2016;166430
M;81;2016;160489
M;82;2016;145434
M;83;2016;141010
M;84;2016;127211
M;85;2016;115743
M;86;2016;97437
M;87;2016;85563
M;88;2016;72248
M;89;2016;60915
M;90;2016;50633
M;91;2016;40295
M;92;2016;31746
M;93;2016;25031
M;94;2016;19150
M;95;2016;14037
M;96;2016;5964
M;97;2016;3593
M;98;2016;1977
M;99;2016;4587
M;100;2016;0
M;101;2016;0
M;102;2016;0
M;103;2016;0
M;104;2016;0
M;105;2016;0
M;106;2016;0
M;107;2016;0
M;108;2016;0
F;0;2016;379240
F;1;2016;383887
F;2;2016;384277
F;3;2016;387104
F;4;2016;400130
F;5;2016;409213
F;6;2016;407807
F;7;2016;411120
F;8;2016;409117
F;9;2016;415670
F;10;2016;407248
F;11;2016;405442
F;12;2016;403116
F;13;2016;405376
F;14;2016;412522
F;15;2016;421506
F;16;2016;402072
F;17;2016;401151
F;18;2016;390503
F;19;2016;390148
F;20;2016;381842
F;21;2016;366055
F;22;2016;360991
F;23;2016;377402
F;24;2016;384382
F;25;2016;393216
F;26;2016;395619
F;27;2016;401891
F;28;2016;402060
F;29;2016;411682
F;30;2016;410625
F;31;2016;412317
F;32;2016;406306
F;33;2016;431849
F;34;2016;437426
F;35;2016;441996
